iter: 0, return: 19413.20238095239
iter: 1, return: 21140.924603174597
iter: 2, return: 22797.91468253968
iter: 3, return: 18249.451190476197
iter: 4, return: 17330.63531746033
iter: 5, return: 19511.84285714285
iter: 6, return: 21165.763888888898
iter: 7, return: 16590.94642857143
iter: 8, return: 17550.958333333332
iter: 9, return: 16946.616666666654
iter: 10, return: 18623.866666666672
iter: 11, return: 16724.348809523806
iter: 12, return: 19077.65833333333
iter: 13, return: 18985.11507936509
iter: 14, return: 19191.258333333328
iter: 15, return: 20233.0988095238
iter: 16, return: 17301.66904761904
iter: 17, return: 17227.390476190467
iter: 18, return: 18806.161904761902
iter: 19, return: 20006.272619047617
iter: 20, return: 15286.121428571427
iter: 21, return: 20522.166666666664
iter: 22, return: 19637.028571428575
iter: 23, return: 18360.704761904763
iter: 24, return: 16912.838492063496
iter: 25, return: 18148.14166666666
iter: 26, return: 19900.85238095239
iter: 27, return: 19701.023809523816
iter: 28, return: 17975.557142857153
iter: 29, return: 24079.50079365079
iter: 30, return: 22750.98571428571
iter: 31, return: 18571.219047619048
iter: 32, return: 16537.485714285714
iter: 33, return: 22556.194047619043
iter: 34, return: 18883.108333333334
iter: 35, return: 19305.25952380952
iter: 36, return: 19402.16785714286
iter: 37, return: 17211.19047619047
