iter: 0, return: 15433.548809523805
iter: 1, return: 18605.47738095238
iter: 2, return: 19683.13214285714
iter: 3, return: 21252.082142857143
iter: 4, return: 16630.18055555555
iter: 5, return: 20646.235714285714
iter: 6, return: 17756.269047619036
iter: 7, return: 17203.26349206349
iter: 8, return: 20518.10793650794
iter: 9, return: 19642.20000000002
iter: 10, return: 17957.86904761905
iter: 11, return: 15654.48769841269
iter: 12, return: 17081.58690476191
iter: 13, return: 18016.013095238086
iter: 14, return: 19470.951587301588
iter: 15, return: 19579.22738095238
iter: 16, return: 18972.86388888889
iter: 17, return: 20225.129761904773
iter: 18, return: 17641.67023809524
iter: 19, return: 18420.390476190478
iter: 20, return: 16636.132142857146
iter: 21, return: 18057.673015873006
iter: 22, return: 17515.417857142875
iter: 23, return: 17229.96626984126
iter: 24, return: 19236.663095238073
iter: 25, return: 20732.790476190487
iter: 26, return: 20223.980158730155
iter: 27, return: 18916.535714285706
iter: 28, return: 19956.536904761888
iter: 29, return: 17068.764285714275
iter: 30, return: 19274.527380952386
iter: 31, return: 17929.89444444443
iter: 32, return: 17266.914285714272
iter: 33, return: 22572.886904761905
iter: 34, return: 19014.636111111126
iter: 35, return: 22187.67738095239
iter: 36, return: 24584.516666666674
iter: 37, return: 21084.526190476194
