iter: 0, return: 19577.701190476193
iter: 1, return: 20395.677380952366
iter: 2, return: 16117.330952380946
iter: 3, return: 17803.722619047632
iter: 4, return: 15427.410317460313
iter: 5, return: 16242.950000000003
iter: 6, return: 16918.65873015872
iter: 7, return: 16946.557142857142
iter: 8, return: 18214.67777777778
iter: 9, return: 20054.064285714285
iter: 10, return: 16912.382142857146
iter: 11, return: 14211.326190476193
iter: 12, return: 20369.38690476191
iter: 13, return: 16989.769047619036
iter: 14, return: 18738.408333333326
iter: 15, return: 20985.383333333328
iter: 16, return: 19492.424999999996
iter: 17, return: 19392.75238095237
iter: 18, return: 16339.210714285711
iter: 19, return: 18087.057142857135
iter: 20, return: 20311.37142857142
iter: 21, return: 19353.366666666672
iter: 22, return: 17157.821428571424
iter: 23, return: 18345.58690476191
iter: 24, return: 19086.44047619047
iter: 25, return: 17417.97976190476
iter: 26, return: 20939.301984126985
iter: 27, return: 20811.29642857144
iter: 28, return: 19819.475000000002
iter: 29, return: 19738.39325396825
iter: 30, return: 20977.185714285715
iter: 31, return: 18561.3861111111
iter: 32, return: 16265.567857142862
iter: 33, return: 18417.727380952376
iter: 34, return: 16176.872619047614
iter: 35, return: 20192.771825396816
