iter: 0, return: 19200.4869047619
iter: 1, return: 22274.39722222222
iter: 2, return: 20901.2865079365
iter: 3, return: 19507.694047619054
iter: 4, return: 18498.82301587301
iter: 5, return: 18125.81071428572
iter: 6, return: 18434.249999999993
iter: 7, return: 22375.384523809513
iter: 8, return: 18879.826190476182
iter: 9, return: 22451.804761904757
iter: 10, return: 18971.28095238095
iter: 11, return: 19671.54047619048
iter: 12, return: 20119.095238095237
iter: 13, return: 20007.46071428571
iter: 14, return: 19406.598809523814
iter: 15, return: 18097.700000000004
iter: 16, return: 20144.257142857135
iter: 17, return: 18842.141666666663
iter: 18, return: 22568.169047619052
iter: 19, return: 18091.31111111112
iter: 20, return: 19638.020634920627
iter: 21, return: 14333.463095238094
iter: 22, return: 19986.941666666666
iter: 23, return: 18671.39761904762
iter: 24, return: 17461.248809523804
iter: 25, return: 20253.494047619046
iter: 26, return: 18890.294444444444
iter: 27, return: 14707.53333333333
iter: 28, return: 19338.764285714282
iter: 29, return: 17250.426190476195
iter: 30, return: 16413.04761904762
iter: 31, return: 16897.54047619048
iter: 32, return: 21524.619444444437
iter: 33, return: 17555.90238095237
iter: 34, return: 18559.079365079357
iter: 35, return: 19924.29642857143
iter: 36, return: 17804.146825396838
iter: 37, return: 21015.90992063492
