iter: 0, return: 26014.569047619043
iter: 1, return: 19977.916666666668
iter: 2, return: 18794.55952380953
iter: 3, return: 18539.97063492063
iter: 4, return: 19655.605952380953
iter: 5, return: 20962.784523809532
iter: 6, return: 18848.35396825396
iter: 7, return: 23725.1
iter: 8, return: 21255.177380952387
iter: 9, return: 18773.270238095232
iter: 10, return: 17744.335714285713
iter: 11, return: 18838.066666666655
iter: 12, return: 20744.290476190472
iter: 13, return: 21026.379761904773
iter: 14, return: 17883.030952380956
iter: 15, return: 20616.46785714286
iter: 16, return: 16567.51904761905
iter: 17, return: 18455.74285714286
iter: 18, return: 18350.472619047625
iter: 19, return: 16985.681349206345
iter: 20, return: 16723.853968253963
iter: 21, return: 18844.78214285714
iter: 22, return: 20693.879761904784
iter: 23, return: 15994.620634920628
iter: 24, return: 16324.175000000005
iter: 25, return: 16118.494047619046
iter: 26, return: 16812.39285714286
iter: 27, return: 19405.473809523803
iter: 28, return: 20342.973809523814
iter: 29, return: 18512.91190476191
iter: 30, return: 18563.218253968254
iter: 31, return: 17504.18095238095
iter: 32, return: 20635.36944444446
iter: 33, return: 18755.719047619044
iter: 34, return: 18442.630952380954
iter: 35, return: 22081.9126984127
iter: 36, return: 19752.717857142856
