iter: 0, return: 15162.016666666661
iter: 1, return: 22622.352380952387
iter: 2, return: 21405.29047619047
iter: 3, return: 19865.85238095238
iter: 4, return: 20151.761904761905
iter: 5, return: 17299.24880952381
iter: 6, return: 17031.051190476184
iter: 7, return: 18713.785714285717
iter: 8, return: 24809.576190476204
iter: 9, return: 21048.605555555554
iter: 10, return: 22348.82857142857
iter: 11, return: 20036.179761904757
iter: 12, return: 18769.40119047619
iter: 13, return: 19036.616666666665
iter: 14, return: 20490.310714285715
iter: 15, return: 19117.61071428572
iter: 16, return: 16346.384523809524
iter: 17, return: 16604.12341269842
iter: 18, return: 20255.435714285708
iter: 19, return: 19082.059523809534
iter: 20, return: 18451.683333333338
iter: 21, return: 18822.861904761907
iter: 22, return: 19132.291269841255
iter: 23, return: 17184.362301587305
iter: 24, return: 16260.655952380956
iter: 25, return: 18354.74722222222
iter: 26, return: 16229.63333333333
iter: 27, return: 19802.6738095238
iter: 28, return: 18350.499999999996
iter: 29, return: 16757.129761904762
iter: 30, return: 19436.35238095238
iter: 31, return: 20259.75595238095
iter: 32, return: 19624.276190476183
iter: 33, return: 16912.69166666667
iter: 34, return: 19506.154761904763
iter: 35, return: 18626.38452380952
iter: 36, return: 17924.277380952386
