iter: 0, return: 18731.470634920628
iter: 1, return: 17079.68452380953
iter: 2, return: 17246.52142857143
iter: 3, return: 18416.752777777783
iter: 4, return: 19485.98333333333
iter: 5, return: 19439.203571428574
iter: 6, return: 17997.327380952393
iter: 7, return: 20600.10357142856
iter: 8, return: 16261.42857142857
iter: 9, return: 19507.189285714296
iter: 10, return: 19850.979761904768
iter: 11, return: 20605.283333333336
iter: 12, return: 17463.147619047613
iter: 13, return: 17700.539285714287
iter: 14, return: 20074.777777777774
iter: 15, return: 21703.471428571425
iter: 16, return: 17570.13928571429
iter: 17, return: 19207.992063492056
iter: 18, return: 17310.757142857143
iter: 19, return: 18070.25793650794
iter: 20, return: 19979.632539682545
iter: 21, return: 19130.109523809526
iter: 22, return: 21920.10476190477
iter: 23, return: 22066.678571428565
iter: 24, return: 16544.134523809524
iter: 25, return: 20763.464285714275
iter: 26, return: 19542.21904761905
iter: 27, return: 18801.632142857143
iter: 28, return: 20691.017857142866
iter: 29, return: 19643.239285714288
iter: 30, return: 18771.916666666675
iter: 31, return: 19877.60000000001
iter: 32, return: 19044.909126984123
iter: 33, return: 20998.947619047623
iter: 34, return: 16082.541666666666
iter: 35, return: 23572.765079365083
iter: 36, return: 18560.758333333335
iter: 37, return: 23743.898809523816
