iter: 0, return: 19210.913095238087
iter: 1, return: 20479.12261904762
iter: 2, return: 18199.058333333338
iter: 3, return: 20176.89285714285
iter: 4, return: 16263.119047619053
iter: 5, return: 18554.030952380956
iter: 6, return: 16343.454761904759
iter: 7, return: 19463.01111111112
iter: 8, return: 20410.49603174603
iter: 9, return: 18205.115476190484
iter: 10, return: 20462.28333333333
iter: 11, return: 19181.18928571428
iter: 12, return: 19146.27142857142
iter: 13, return: 19984.149999999994
iter: 14, return: 19076.700000000008
iter: 15, return: 17443.663095238095
iter: 16, return: 17516.80714285715
iter: 17, return: 18657.258730158715
iter: 18, return: 17326.52142857142
iter: 19, return: 17643.390476190478
iter: 20, return: 17498.115873015875
iter: 21, return: 20888.557142857135
iter: 22, return: 19381.99761904762
iter: 23, return: 18058.791666666675
iter: 24, return: 19311.51230158729
iter: 25, return: 18375.995238095245
iter: 26, return: 18986.49047619048
iter: 27, return: 22515.022619047617
iter: 28, return: 21169.86190476192
iter: 29, return: 18137.30238095239
iter: 30, return: 16465.910317460315
iter: 31, return: 18003.717857142852
iter: 32, return: 16686.973809523806
iter: 33, return: 17879.24285714285
iter: 34, return: 19647.0369047619
iter: 35, return: 18820.7369047619
iter: 36, return: 15455.36706349207
